순,이름,팀,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
120,김동진,23삼2B,0.21,44,137,122,14,32,7,0,0,39,8,3,0,9,1,0,26,4,3,2,.262,.313,.320,.633,.296,74.9,0.21,-0.86
121,이학주,23롯SS,0.21,104,122,110,22,23,2,0,3,34,13,4,1,11,1,0,31,2,0,0,.209,.287,.309,.596,.286,70.3,0.21,-0.26
122,김동엽,23삼DH,0.21,69,182,165,20,42,7,0,5,64,18,1,1,13,2,0,29,8,0,2,.255,.313,.388,.701,.327,94.0,0.21,-0.48
123,홍성호,23두RF,0.20,21,51,48,6,14,4,0,0,18,5,0,1,2,1,0,14,0,0,0,.292,.333,.375,.708,.335,103.0,0.20,-0.09
124,문상철,23KDH,0.19,112,330,304,30,79,20,0,9,126,46,3,1,16,3,1,81,4,1,6,.260,.298,.414,.712,.324,92.4,0.19,0.86
125,신본기,23KSS,0.19,40,75,54,8,11,2,0,1,16,7,0,1,14,2,0,8,3,1,4,.204,.365,.296,.661,.322,92.1,0.19,-0.34
126,배영빈,23롯SS,0.18,18,18,16,2,5,2,0,0,7,0,1,0,1,0,0,2,0,1,0,.313,.353,.438,.790,.348,107.8,0.18,0.03
127,김강민,23SCF,0.16,70,166,137,20,31,3,0,2,40,7,2,1,23,1,1,38,2,2,3,.226,.335,.292,.627,.302,79.8,0.16,-0.64
128,이천웅,23L,0.16,4,3,3,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,.955,519.2,0.16,0.23
129,이재원,23LLF,0.16,57,129,112,15,24,5,0,4,41,18,4,2,12,2,2,40,1,0,3,.214,.295,.366,.661,.301,82.8,0.16,0.09
130,고승민,23롯1B,0.15,94,307,254,35,57,14,2,2,81,24,8,3,42,1,3,64,2,6,4,.224,.332,.319,.651,.305,80.4,0.15,-0.53
131,안중열,23NC,0.13,77,177,154,15,30,6,0,4,48,17,0,0,16,2,0,45,6,3,2,.195,.276,.312,.588,.275,60.8,0.13,-0.88
132,최준우,23S2B,0.13,38,69,60,5,16,1,0,0,17,6,0,1,8,0,0,10,3,0,1,.267,.348,.283,.631,.311,87.7,0.13,-0.47
133,손성빈,23롯C,0.13,45,80,76,13,20,3,0,1,26,15,0,0,2,0,0,10,3,2,0,.263,.282,.342,.624,.285,68.2,0.13,0.04
134,최항,23S1B,0.13,21,35,28,3,8,1,0,1,12,6,0,0,5,0,0,12,1,1,1,.286,.382,.429,.811,.366,121.6,0.13,0.06
135,김수환,23키1B,0.12,50,114,97,8,21,4,0,2,31,15,0,0,11,4,0,36,1,1,1,.216,.319,.320,.638,.306,85.5,0.12,-0.06
136,박대온,23NC,0.11,2,6,5,2,2,1,0,0,3,1,0,0,0,1,0,1,0,0,0,.400,.500,.600,1.100,.508,219.1,0.11,0.04
137,안주형,23삼2B,0.11,53,91,79,12,19,2,0,1,24,10,0,0,10,0,0,20,3,1,1,.241,.322,.304,.626,.300,77.5,0.11,-0.26
138,박대온,23NC,0.11,23,27,23,4,6,2,0,0,8,2,0,0,3,0,0,7,0,0,1,.261,.333,.348,.681,.321,93.1,0.11,-0.17
139,윤형준,23N1B,0.10,82,236,218,17,55,12,1,5,84,27,1,1,10,3,0,58,6,2,3,.252,.291,.385,.676,.309,84.6,0.10,-0.39
140,정주현,23L1B,0.08,89,101,88,17,24,2,0,1,29,12,1,5,9,0,0,16,1,2,1,.273,.337,.330,.666,.311,87.0,0.08,-0.21
141,정준영,23KCF,0.07,34,55,48,6,14,2,0,0,16,6,0,0,3,0,0,11,1,4,0,.292,.333,.333,.667,.296,73.6,0.07,-0.36
142,안상현,23S2B,0.07,58,66,58,10,14,3,0,0,17,2,3,1,5,0,0,15,1,3,0,.241,.302,.293,.595,.275,64.0,0.07,-0.35
143,김찬형,23S3B,0.06,36,53,48,6,11,3,0,1,17,5,0,0,2,1,0,10,1,2,0,.229,.275,.354,.629,.283,67.6,0.06,0.32
144,천재환,23NCF,0.05,78,179,163,12,39,7,1,2,54,17,2,3,9,3,0,44,5,2,2,.239,.288,.331,.619,.289,71.4,0.05,-0.91
145,조용호,23KRF,0.05,63,184,161,20,40,2,0,0,42,7,4,0,23,0,0,25,3,0,0,.248,.342,.261,.603,.303,78.4,0.05,-0.75
146,최보성,23N3B,0.05,12,21,19,2,5,0,0,0,5,0,0,0,2,0,0,2,1,0,0,.263,.333,.263,.597,.297,78.4,0.05,-0.01
147,박유연,23두C,0.04,10,16,15,3,4,2,0,0,6,1,0,0,0,0,0,4,0,1,0,.267,.267,.400,.667,.286,70.8,0.04,-0.07
148,이원석,23한CF,0.04,81,138,116,20,22,1,1,0,25,8,13,3,21,1,0,33,3,0,0,.190,.319,.216,.534,.276,64.2,0.04,-1.11
149,박계범,23두SS,0.03,77,194,169,18,37,6,0,2,49,15,2,2,15,2,1,44,4,5,3,.219,.286,.290,.576,.267,58.4,0.03,-0.96
150,국해성,23롯DH,0.03,6,10,8,0,2,0,0,0,2,1,0,0,2,0,0,3,0,0,0,.250,.400,.250,.650,.337,101.9,0.03,-0.13
151,장운호,23한RF,0.03,4,11,9,1,2,0,0,0,2,1,0,0,2,0,0,2,0,0,0,.222,.364,.222,.586,.306,83.5,0.03,-0.20
152,이해승,23삼3B,0.03,9,4,4,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,.250,.250,.500,.750,.333,99.8,0.03,-0.02
153,김정민,23SRF,0.03,8,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.500,.500,.500,1.000,.477,199.3,0.03,-0.00
154,홍종표,23K2B,0.03,40,12,7,10,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,.000,.364,.000,.364,.245,41.1,0.03,0.08
155,양찬열,23두RF,0.02,44,99,88,15,21,2,2,0,27,6,3,2,9,1,0,23,1,0,1,.239,.313,.307,.620,.299,76.0,0.02,-1.14
156,이민준,23한SS,0.02,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.500,.000,.500,.364,121.2,0.02,0.03
157,이재용,23한C,0.02,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.500,.500,.500,1.000,.477,202.8,0.02,0.00
158,노수광,23한LF,0.01,30,94,77,6,17,5,0,0,22,4,2,1,13,0,0,27,3,2,2,.221,.326,.286,.612,.293,75.3,0.01,-0.83
163,안승한,23두C,0.00,22,27,24,1,5,0,0,0,5,1,1,0,2,1,0,10,0,0,0,.208,.296,.208,.505,.259,50.2,0.00,-0.13
164,김주성,23LSS,0.00,11,7,5,1,1,0,0,0,1,0,0,0,1,1,0,2,0,0,0,.200,.429,.200,.629,.349,112.0,0.00,0.00
165,송재선,23키RF,0.00,5,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.333,.333,.333,.667,.318,93.7,0.00,-0.01
239,박민석,23KSS,-0.00,4,4,4,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,.250,.250,.250,.500,.239,27.2,-0.00,-0.03
241,김민수,23롯3B,-0.01,25,51,43,4,9,1,1,0,12,2,0,0,7,0,0,17,2,1,0,.209,.320,.279,.599,.290,69.2,-0.01,-0.48
242,오선우,23K1B,-0.01,33,31,28,2,5,0,0,2,11,5,0,0,3,0,0,15,0,0,0,.179,.258,.393,.651,.298,82.0,-0.01,-0.09
243,김태진,23키3B,-0.02,74,212,200,17,55,6,0,0,61,16,0,0,5,1,0,23,1,3,3,.275,.292,.305,.597,.279,65.3,-0.02,-1.33
244,강민성,23K3B,-0.02,12,27,22,2,4,1,0,0,5,0,0,0,4,0,0,10,0,1,0,.182,.308,.227,.535,.263,51.3,-0.02,-0.31
