순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR(need to drop),WPA
612,최성훈,20L,0.76,48,0,0,0,0,0,0,2,33.1,13,13,145,36,4,1,1,16,2,1,24,0,1,3.51,3.86,1.56,131.8,121.8,0.76,-0.14
613,우규민,16L,0.76,28,1,1,24,6,11,0,1,132.0,89,72,599,166,30,0,16,36,1,18,81,0,1,4.91,5.35,1.53,103.6,93.1,0.76,-2.01
614,맥과이어,19삼,0.76,21,1,1,21,4,8,0,0,112.1,68,63,512,119,24,3,13,66,0,6,100,2,3,5.05,5.05,1.65,86.0,84.7,0.76,-0.37
615,박상원,20한,0.76,62,0,0,0,1,0,1,10,58.0,35,30,256,62,14,1,8,20,4,4,52,1,2,4.66,4.59,1.41,101.6,104.2,0.76,-0.34
616,프랑코,21롯,0.76,37,0,0,27,9,8,0,1,150.0,97,90,677,147,31,2,20,75,0,20,124,1,6,5.40,5.31,1.48,84.2,84.1,0.76,-1.27
617,박시영,16롯,0.76,42,0,0,2,2,3,0,1,61.2,38,37,277,64,17,1,6,29,3,2,57,0,8,5.40,4.57,1.51,96.8,114.1,0.76,-0.83
618,백정현,16삼,0.75,70,0,0,4,6,3,0,9,68.2,44,44,306,73,12,2,9,30,0,2,77,0,4,5.77,4.65,1.50,91.4,112.3,0.75,-0.80
619,이영준,19키,0.74,29,0,0,0,1,1,0,1,33.1,11,11,136,39,7,2,0,5,0,0,19,0,0,2.97,2.71,1.32,139.4,154.1,0.74,0.70
620,박진형,16롯,0.74,39,0,0,14,6,2,0,3,93.0,65,60,438,101,28,2,9,54,0,13,78,1,6,5.81,5.53,1.67,90.0,94.2,0.74,-2.53
621,김성훈,18한,0.73,10,0,0,5,0,2,0,0,27.2,12,11,118,25,5,0,2,11,0,3,28,0,3,3.58,4.27,1.30,148.1,124.7,0.73,-0.29
622,진해수,16L,0.73,75,0,0,0,0,4,1,17,54.0,30,28,254,57,10,1,5,37,4,2,54,0,1,4.67,4.94,1.74,109.0,101.4,0.73,-1.03
623,이승진,21두,0.73,47,0,0,0,1,4,2,13,48.1,24,21,210,41,3,0,3,31,2,2,28,2,2,3.91,4.91,1.49,110.3,88.8,0.73,0.25
624,로저스,16한,0.73,6,1,0,6,2,3,0,0,37.2,22,18,160,42,8,0,3,12,0,2,24,3,0,4.30,4.67,1.43,122.1,112.1,0.73,-0.46
625,배재준,22L,0.72,17,0,0,5,0,1,0,0,31.1,11,8,129,22,4,2,0,15,0,4,23,0,0,2.30,3.69,1.18,173.0,110.8,0.72,0.43
626,최민준,22S,0.72,51,0,0,1,5,4,0,5,68.1,37,30,288,51,8,1,10,34,2,2,48,0,7,3.95,5.33,1.24,105.3,78.7,0.72,-0.66
627,이상민,22삼,0.72,46,0,0,0,0,0,0,9,29.1,13,12,138,30,6,1,5,15,1,3,23,0,2,3.68,5.73,1.53,113.4,72.6,0.72,0.20
628,팻딘,18K,0.72,36,0,0,21,6,7,0,2,129.1,96,90,588,174,29,1,23,27,2,4,101,0,3,6.26,5.26,1.55,82.0,98.1,0.72,-2.78
629,강윤구,17N,0.72,36,0,0,5,2,1,0,0,54.2,30,27,245,57,10,0,14,24,0,2,51,0,4,4.45,6.63,1.48,111.5,75.8,0.72,-0.47
630,이정용,20L,0.72,34,0,0,0,3,0,0,4,34.0,15,14,147,32,5,0,6,14,0,2,33,1,0,3.71,5.32,1.35,124.9,85.4,0.72,0.45
631,이보근,17넥,0.72,55,0,0,0,6,2,6,18,52.2,32,32,236,62,9,0,9,17,0,0,58,0,2,5.47,4.72,1.50,90.9,102.7,0.72,-0.14
632,임현준,19삼,0.72,71,0,0,0,1,0,0,8,42.1,19,16,177,34,9,1,2,12,0,3,35,0,0,3.40,3.43,1.09,127.6,123.7,0.72,0.45
633,손민한,15N,0.71,26,0,0,19,11,6,0,0,105.0,65,57,444,122,22,1,8,15,0,5,50,0,3,4.89,4.23,1.31,98.1,115.6,0.71,-0.92
634,윤희상,18S,0.71,46,0,0,1,1,2,1,7,51.0,29,29,211,55,5,1,8,7,1,2,44,0,1,5.12,4.62,1.22,102.7,115.4,0.71,-0.22
635,김지용,15L,0.71,24,0,0,0,1,1,0,0,32.2,15,15,137,30,10,0,4,12,2,1,28,0,2,4.13,4.50,1.29,113.6,102.8,0.71,-0.07
