이름,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WPA,소속팀,연도,포지션,연봉
양의지,5.65,132,513,442,70,144,27,0,20,231,93,5,4,39,24,3,64,7,2,6,0.326,0.405,0.523,0.928,0.408,149.1,3.31,두산,2015,C,42000.0
이정후,5.56,140,617,544,85,181,49,5,15,285,101,12,2,59,4,6,47,16,2,8,0.333,0.397,0.524,0.921,0.406,142.8,3.81,키움,2020,RF,39000.0
황재균,5.55,127,559,498,97,167,26,5,27,284,113,25,10,49,4,5,66,10,0,8,0.335,0.394,0.57,0.964,0.417,137.3,4.03,롯데,2016,3B,
김태균,5.5,144,652,529,94,193,39,0,23,301,136,1,0,108,9,10,97,11,0,6,0.365,0.476,0.569,1.045,0.463,165.5,7.37,한화,2016,DH,160000.0
로하스,5.49,142,576,520,68,167,29,3,24,274,104,4,4,48,3,5,120,4,0,5,0.321,0.379,0.527,0.905,0.405,151.3,1.2,kt,2019,CF,100000.0
박병호,5.46,122,532,432,92,121,22,0,33,242,98,0,1,78,13,5,117,7,0,9,0.28,0.399,0.56,0.959,0.422,165.8,2.21,키움,2019,1B,200000.0
박석민,5.38,135,559,448,90,144,25,0,26,247,116,3,0,83,19,0,97,13,1,8,0.321,0.441,0.551,0.992,0.437,156.8,5.77,삼성,2015,3B,
김현수,5.31,142,619,547,98,181,35,2,22,286,119,0,2,63,2,7,53,9,0,7,0.331,0.397,0.523,0.92,0.407,148.4,5.17,LG,2020,LF,130000.0
손아섭,5.3,141,625,553,109,182,32,5,26,302,93,20,3,68,2,1,99,15,1,1,0.329,0.404,0.546,0.95,0.409,138.6,4.35,롯데,2018,RF,
손아섭,5.3,144,672,575,118,186,33,1,16,269,81,42,4,92,3,1,104,4,0,2,0.323,0.418,0.468,0.886,0.406,131.0,6.03,롯데,2016,RF,65000.0
러프,5.28,137,597,506,97,167,32,4,33,306,125,5,3,65,18,0,107,17,0,8,0.33,0.419,0.605,1.024,0.432,152.9,5.89,삼성,2018,1B,170000.0
강민호,5.23,123,456,380,63,118,18,1,35,243,86,0,0,60,14,2,112,14,0,2,0.311,0.421,0.639,1.061,0.451,164.9,4.59,롯데,2015,C,100000.0
로사리오,5.2,119,510,445,100,151,30,1,37,294,111,10,5,50,10,4,61,12,0,5,0.339,0.414,0.661,1.074,0.45,165.3,3.91,한화,2017,1B,
나성범,5.18,130,584,525,115,170,37,2,34,313,112,3,1,49,9,2,148,6,0,1,0.324,0.39,0.596,0.987,0.43,153.5,4.3,NC,2020,DH,50000.0
최정,5.15,121,505,414,80,110,21,0,26,209,87,12,5,66,19,3,96,6,0,6,0.266,0.386,0.505,0.891,0.4,145.4,3.72,SSG,2022,3B,
