순,이름,팀,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
138,황재균,15롯3B,4.01,144,596,534,95,155,41,2,26,278,97,11,10,48,4,1,122,14,4,6,.290,.350,.521,.870,.375,115.4,4.01,1.43
139,최주환,20두2B,4.00,140,573,508,63,155,29,4,16,240,86,2,2,48,6,5,66,7,1,10,.305,.365,.472,.838,.372,123.6,4.00,1.70
140,이천웅,19LCF,3.98,138,613,546,88,168,24,3,2,204,48,21,10,57,5,1,82,13,4,1,.308,.378,.374,.751,.353,114.3,3.98,2.02
141,구자욱,16삼1B,3.96,108,495,428,105,147,19,13,14,234,77,10,5,55,5,1,68,4,2,5,.343,.420,.547,.967,.427,142.5,3.96,4.99
142,마티니,22NLF,3.96,139,576,510,67,153,34,1,16,237,85,13,4,51,8,5,86,8,0,7,.300,.368,.465,.833,.376,134.9,3.96,0.53
143,나지완,16KDH,3.94,118,486,380,84,117,21,2,25,217,90,6,3,85,17,1,90,8,0,4,.308,.451,.571,1.022,.450,158.0,3.94,3.83
144,러프,17삼1B,3.92,134,591,515,90,162,38,0,31,293,124,2,2,60,12,4,107,14,0,4,.315,.396,.569,.965,.414,142.6,3.92,4.11
145,홍창기,20LCF,3.91,135,507,408,87,114,29,6,5,170,39,11,5,83,10,1,87,8,3,3,.279,.411,.417,.827,.384,129.5,3.91,2.81
146,구자욱,18삼RF,3.91,116,529,478,100,159,26,5,20,255,84,10,0,43,5,2,110,4,1,2,.333,.392,.533,.926,.398,131.9,3.91,4.23
147,나성범,21NRF,3.91,144,623,570,96,160,29,1,33,290,101,1,2,38,11,2,155,5,0,4,.281,.336,.509,.844,.380,124.1,3.91,3.13
148,한유섬,21SRF,3.90,135,519,442,71,123,18,1,31,236,95,1,0,60,10,4,96,11,1,6,.278,.373,.534,.907,.404,138.6,3.90,1.99
149,한유섬,22SRF,3.90,135,545,458,62,121,33,1,21,219,100,1,1,66,16,6,137,8,0,5,.264,.373,.478,.851,.382,134.9,3.90,3.45
150,추신수,21SDH,3.89,137,580,461,84,122,19,2,21,208,69,25,9,103,12,4,123,8,0,4,.265,.409,.451,.860,.400,137.4,3.89,4.59
151,오재일,17두1B,3.88,128,466,412,62,126,27,0,26,231,89,1,1,45,5,0,80,5,1,3,.306,.379,.561,.939,.403,146.4,3.88,2.67
152,강민호,21삼C,3.86,123,462,406,55,118,22,0,18,194,67,0,0,45,4,4,53,18,0,7,.291,.362,.478,.839,.380,123.6,3.86,1.49
153,박용택,15LLF,3.85,128,533,487,66,159,28,2,18,245,83,11,4,34,4,1,73,12,1,7,.326,.370,.503,.873,.384,131.3,3.85,1.35
154,박병호,22K1B,3.85,124,487,429,72,118,17,0,35,240,98,5,3,40,12,3,131,7,0,6,.275,.349,.559,.909,.399,147.8,3.85,3.71
